client_id,Apple,Microsoft,TotalEnergies,LVMH,Airbus,BNP_Paribas,Tesla,Amazon,ETF_SP500,ETF_CAC40,ETF_Monde,ETF_Technologie,ETF_Energie_Verte,ETF_Obligations,ETF_Immobilier
CLT_00197,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1
CLT_00198,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1
CLT_00199,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1
CLT_00200,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1
CLT_00201,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1
CLT_00202,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0
CLT_00203,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0
CLT_00204,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1
CLT_00205,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0
CLT_00206,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1
CLT_00207,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1
CLT_00208,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1
CLT_00209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
CLT_00210,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0
CLT_00211,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0
CLT_00212,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0
CLT_00213,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0
CLT_00214,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1
CLT_00215,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0
CLT_00216,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1
CLT_00217,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0
CLT_00218,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1
CLT_00219,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1
CLT_00220,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1
CLT_00221,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1
CLT_00222,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1
CLT_00223,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1
CLT_00224,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0
CLT_00225,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0
CLT_00226,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1
CLT_00227,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1
CLT_00228,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1
CLT_00229,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1
CLT_00230,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1
CLT_00231,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1
CLT_00232,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
CLT_00233,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1
CLT_00234,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
CLT_00235,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0
CLT_00236,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0
CLT_00237,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1
CLT_00238,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1
CLT_00239,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
CLT_00240,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0
CLT_00241,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1
CLT_00242,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1
CLT_00243,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0
CLT_00244,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
CLT_00245,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0
CLT_00246,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0
CLT_00247,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0
CLT_00248,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1
CLT_00249,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1
CLT_00250,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1
CLT_00251,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1
CLT_00252,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1
CLT_00253,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
CLT_00254,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1
CLT_00255,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1
CLT_00256,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1
CLT_00257,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0
CLT_00258,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0
CLT_00259,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0
CLT_00260,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0
CLT_00261,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0
CLT_00262,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0
CLT_00263,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0
CLT_00264,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0
CLT_00265,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1
CLT_00266,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1
CLT_00267,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0
CLT_00268,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0
CLT_00269,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0
CLT_00270,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0
CLT_00271,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1
CLT_00272,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1
CLT_00273,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1
CLT_00274,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0
CLT_00275,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1
CLT_00276,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0
CLT_00277,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0
CLT_00278,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0
CLT_00279,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1
CLT_00280,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1
CLT_00281,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0
CLT_00282,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0
CLT_00283,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
CLT_00284,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1
CLT_00285,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0
CLT_00286,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1
CLT_00287,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1
CLT_00288,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1
CLT_00289,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0
CLT_00290,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0
CLT_00291,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1
CLT_00292,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0
CLT_00293,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1
CLT_00294,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1
CLT_00295,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0
CLT_00296,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1
CLT_00297,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1
CLT_00298,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
CLT_00299,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1
CLT_00300,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0
CLT_00301,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0
CLT_00302,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0
CLT_00303,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1
CLT_00304,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1
CLT_00305,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0
CLT_00306,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1
CLT_00307,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0
CLT_00308,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1
CLT_00309,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
CLT_00310,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0
CLT_00311,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1
CLT_00312,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0
CLT_00313,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0
CLT_00314,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0
CLT_00315,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0
CLT_00316,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0
CLT_00317,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0
CLT_00318,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1
CLT_00319,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1
CLT_00320,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1
CLT_00321,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1
CLT_00322,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
CLT_00323,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1
CLT_00324,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0
CLT_00325,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
CLT_00326,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
CLT_00327,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1
CLT_00328,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
CLT_00329,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1
CLT_00330,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1
CLT_00331,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1
CLT_00332,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0
CLT_00333,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1
CLT_00334,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1
CLT_00335,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0
CLT_00336,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0
CLT_00337,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1
CLT_00338,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
CLT_00339,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1
CLT_00340,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0
CLT_00341,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1
CLT_00342,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1
CLT_00343,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0
CLT_00344,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1
CLT_00345,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0
CLT_00346,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1
CLT_00347,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0
CLT_00348,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0
CLT_00349,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0
CLT_00350,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0
CLT_00351,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0
CLT_00352,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0
CLT_00353,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0
CLT_00354,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
CLT_00355,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1
CLT_00356,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
CLT_00357,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0
CLT_00358,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1
CLT_00359,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
CLT_00360,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0
CLT_00361,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0
CLT_00362,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1
CLT_00363,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0
CLT_00364,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1
CLT_00365,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
CLT_00366,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0
CLT_00367,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0
CLT_00368,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
CLT_00369,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0
CLT_00370,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
CLT_00371,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0
CLT_00372,1,0,1,0,1,1,0,0,1,1,1,0,0,1,1
